Nome ,Endereço  (Logradouro - Número - Bairro - Município - CEP) ,Rótulo,Licenciaturas ,Computação 
São Paulo -  Guarapiranga,"Estrada da Baronesa, 1120 - Jd Kagohara - São Paulo - 4941175 ","Estrada da Baronesa, 1120 - Jd Kagohara - São Paulo - 4941175 ",35,35
São Paulo -  Inácio Monteiro,"R. Barão Barroso do Amazonas, s/n - Conjunto Inácio Monteiro - São Paulo   08472-721 ","R. Barão Barroso do Amazonas, s/n - Conjunto Inácio Monteiro - São Paulo   08472-721 ",35,35
São Paulo -  Jaguaré,"Av. Keikiti Simomoto, 80 - Jaguaré - São Paulo   05347-010 ","Av. Keikiti Simomoto, 80 - Jaguaré - São Paulo   05347-010 ",35,35
São Paulo -  Lajeado,"R. Manoel da Mota Coutinho, 293 - Lajeado - São Paulo - 8451420 ","R. Manoel da Mota Coutinho, 293 - Lajeado - São Paulo - 8451420 ",35,35
São Paulo -  Paz,"R. Daniel Cerri, 1549 - Jd Paraná - São Paulo   02879-140 ","R. Daniel Cerri, 1549 - Jd Paraná - São Paulo   02879-140 ",35,35
São Paulo -  Pq. Anhanguera,"R. Pedro José de Lima, 1020 - Jd Anhanguera - São Paulo - 5267174 ","R. Pedro José de Lima, 1020 - Jd Anhanguera - São Paulo - 5267174 ",35,35
São Paulo -  Sapopemba,"R. Manuel Quirino de Mattos, s/n - Jd Sapopemba - São Paulo - 03969-000 ","R. Manuel Quirino de Mattos, s/n - Jd Sapopemba - São Paulo - 03969-000 ",35,35
São Paulo -  Três Pontes,"R. Capachos, 400 - Jd Célia - São Paulo   08191-330 ","R. Capachos, 400 - Jd Célia - São Paulo   08191-330 ",35,35
São Paulo -  Uirapuru,"R. Nazir Miguel, 849 - Jd João VI - São Paulo   05570-030 ","R. Nazir Miguel, 849 - Jd João VI - São Paulo   05570-030 ",35,35
São Paulo -  Vila Rubi,"R. Domingos Tarroso, 101 - Vila Rubi - São Paulo   04823-090 ","R. Domingos Tarroso, 101 - Vila Rubi - São Paulo   04823-090 ",35,35
São Paulo - Água Azul ,"Av. dos Metalúrgicos, 1262 - Cidade Tiradentes - São Paulo - 08471-000 ","Av. dos Metalúrgicos, 1262 - Cidade Tiradentes - São Paulo - 08471-000 ",35,35
São Paulo - Alvarenga ,"Estrada do Alvarenga, 3752 - Balneário São Francisco - São Paulo   04474-340 ","Estrada do Alvarenga, 3752 - Balneário São Francisco - São Paulo   04474-340 ",35,35
São Paulo - Aricanduva ,"R. Olga Fadel Abarca, S/N - Jardim Santa Terezinha - São Paulo  - 03572-020 ","R. Olga Fadel Abarca, S/N - Jardim Santa Terezinha - São Paulo  - 03572-020 ",35,35
São Paulo - Azul da Cor do Mar ,"Av. Ernesto Souza Cruz, 2171 - Cidade Antonio Estevão - São Paulo   08225-380 ","Av. Ernesto Souza Cruz, 2171 - Cidade Antonio Estevão - São Paulo   08225-380 ",35,35
São Paulo - Butantã ,"R. Engenheiro Heitor Antônio Eiras Garcia, 1870 - Jardim Esmeralda - São Paulo   05588-001 ","R. Engenheiro Heitor Antônio Eiras Garcia, 1870 - Jardim Esmeralda - São Paulo   05588-001 ",35,35
São Paulo - Campo Limpo ,"Av. Carlos Lacerda, 678 - Campo Limpo - São Paulo - 05789- 000 ","Av. Carlos Lacerda, 678 - Campo Limpo - São Paulo - 05789- 000 ",35,35
São Paulo - Capão Redondo ,"R. Daniel Gran, S/N - Jardim Modelo - São Paulo   05867-380 ","R. Daniel Gran, S/N - Jardim Modelo - São Paulo   05867-380 ",35,35
São Paulo - Casa Blanca ,"R. João Damasceno, 85 - Vila das Belezas - São Paulo - 05841- 160 ","R. João Damasceno, 85 - Vila das Belezas - São Paulo - 05841- 160 ",35,35
São Paulo - Cidade Dutra ,"Av. Interlagos, 7350 - Cidade Dutra - São Paulo   04777-000 ","Av. Interlagos, 7350 - Cidade Dutra - São Paulo   04777-000 ",35,35
São Paulo - Formosa ,"R. Sargento Claudiner Evaristo Dias, 10 - Parque Santo Antonio  - São Paulo   03385-150 ","R. Sargento Claudiner Evaristo Dias, 10 - Parque Santo Antonio  - São Paulo   03385-150 ",35,35
São Paulo - Freguesia do Ó ,"Av. Deputado Emílio Carlos, 3871 - Limão - São Paulo - 02721- 200 ","Av. Deputado Emílio Carlos, 3871 - Limão - São Paulo - 02721- 200 ",35,35
São Paulo - Heliópolis ,"Estrada das Lágrimas, 2385 - São João Climaco - São Paulo - 04244-000 ","Estrada das Lágrimas, 2385 - São João Climaco - São Paulo - 04244-000 ",35,35
São Paulo - Jaçanã ,"R. Francisca Espósito Tonetti, 105 - Jardim Guapira - São Paulo  - 02276-010 ","R. Francisca Espósito Tonetti, 105 - Jardim Guapira - São Paulo  - 02276-010 ",35,35
São Paulo - Jambeiro ,"Av. José Pinheiro Borges, 60 - Guaianses - São Paulo - 08420- 092 ","Av. José Pinheiro Borges, 60 - Guaianses - São Paulo - 08420- 092 ",35,35
São Paulo -  Jardim Paulistano ,"R. Aparecida do Taboado, S/N - Jardim Paulistano - São Paulo - 02814-000 ","R. Aparecida do Taboado, S/N - Jardim Paulistano - São Paulo - 02814-000 ",35,35
São Paulo - Meninos ,"R. Barbinos, 111 - São João Clímaco - São Paulo   04240-110 ","R. Barbinos, 111 - São João Clímaco - São Paulo   04240-110 ",35,35
São Paulo - Navegantes ,"R. Maria Moassab Barbour, S/N - Cantinho do Céu - São Paulo - 04849-503 ","R. Maria Moassab Barbour, S/N - Cantinho do Céu - São Paulo - 04849-503 ",35,35
São Paulo - Paraisópolis ,"R. Dr. José Augusto de Souza e Silva, S/N - Jardim Parque Morumbi - São Paulo   05712-040 ","R. Dr. José Augusto de Souza e Silva, S/N - Jardim Parque Morumbi - São Paulo   05712-040 ",35,35
São Paulo - Parelheiros ,"R. José Pedro de Borba, 20 - Jardim Novo Parelheiros - São Paulo   04890-090 ","R. José Pedro de Borba, 20 - Jardim Novo Parelheiros - São Paulo   04890-090 ",35,35
São Paulo - Parque Bristol ,"R. Prof. Arthur Primavesi, S/N - Parque Bristol - São Paulo - 04177-070 ","R. Prof. Arthur Primavesi, S/N - Parque Bristol - São Paulo - 04177-070 ",35,35
São Paulo - Parque São Carlos ,"R. Clarear, 643 - Jardim São Carlos - São Paulo   08062-590 ","R. Clarear, 643 - Jardim São Carlos - São Paulo   08062-590 ",35,35
São Paulo - Parque Veredas ,"R. Daniel Muller, 347 - Itaim Paulista - São Paulo   08141-290 ","R. Daniel Muller, 347 - Itaim Paulista - São Paulo   08141-290 ",35,35
São Paulo - Pera Marmelo ,"R. Pêra Marmelo, 226 - Jaraguá - São Paulo   05185-420 ","R. Pêra Marmelo, 226 - Jaraguá - São Paulo   05185-420 ",35,35
São Paulo - Perus ,"R. Bernardo José de Lorena, S/N - Vila Malvina - São Paulo - 05203-200 ","R. Bernardo José de Lorena, S/N - Vila Malvina - São Paulo - 05203-200 ",35,35
São Paulo - Quinta do Sol ,"Av. Luiz Imparato, 564 - Vila Cisper - São Paulo   03819-160 ","Av. Luiz Imparato, 564 - Vila Cisper - São Paulo   03819-160 ",35,35
São Paulo - Rosa da China ,"R. Clara Petrela, 113 - Jardim São Roberto - São Paulo - 03978- 500 ","R. Clara Petrela, 113 - Jardim São Roberto - São Paulo - 03978- 500 ",35,35
São Paulo - São Mateus ,"R. Curumatim, 201 - Parque Boa Esperança - São Paulo - 08341-240 ","R. Curumatim, 201 - Parque Boa Esperança - São Paulo - 08341-240 ",35,35
São Paulo - São Rafael ,"R. Cinira Polônio, 100 - São Rafael - São Paulo   08395-320 ","R. Cinira Polônio, 100 - São Rafael - São Paulo   08395-320 ",35,35
São Paulo - Tiquatira ,"Av. Condessa Elisabeth de Robiano, S/N - Penha - São Paulo - 03704-000 ","Av. Condessa Elisabeth de Robiano, S/N - Penha - São Paulo - 03704-000 ",35,35
São Paulo - Três Lagos ,"R. Maria Moura da Conceição, S/N - Jardim Belcito - São Paulo - 04855-257 ","R. Maria Moura da Conceição, S/N - Jardim Belcito - São Paulo - 04855-257 ",35,35
São Paulo - Vila Atlântica ,"R. Coronel José Venâncio Dias, 840 - Jardim Jaraguá - São Paulo   05160-030 ","R. Coronel José Venâncio Dias, 840 - Jardim Jaraguá - São Paulo   05160-030 ",35,35
São Paulo - Vila Curuçá ,"Av. Marechal Tito, 3452 - Jardim Miragaia - São Paulo - 08160- 495 ","Av. Marechal Tito, 3452 - Jardim Miragaia - São Paulo - 08160- 495 ",35,35
